product_name,country,wine_type,short_description,rating,reviews,price_per_bottle,quantity,actual_price,after_discount_price,saving_amount
Château La Clarière 2023 ,France,Merlot-based blend,91-Point Bordeaux,,23 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Tenuta Fenice Riserva 2022 ,Italy,Red blend,Old-Vine Sicilian Riserva,,,$26.99 per bottle,12 bottles - $323.88,,,
Flor de San Martín Garnacha Blanca 2023 ,Spain,Garnacha Blanca,Gold-Medal Spanish White Garnacha,,101 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
Visionario 2024 ,Italy,White blend,Elegant Venetian White,,69 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
Baronesa de Vilar Port Finish Reserva 2021 ,Portugal,Touriga Nacional-based blend,Sumptuous Reserva Aged in Port Barrels,,77 Reviews,$26.99 per bottle,12 bottles - $323.88,,,
Silver Puffs Sauvignon Blanc 2023 ,United States,Sauvignon Blanc,Tropical and Compelling California Sauvignon,,112 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Perfect Provence Rosé Wine 3-Bottle Gift Set  ,,,The Ultimate Gift for Rosé Lovers,,,,3 bottles - $79.97,$79.97,$59.99,Save $19.98
NPR Weekend Edition CA Red Blend 2024 ,United States,Red blend,Authoritative Red Blend,,1 Review,$20.99 per bottle,12 bottles - $251.88,,,
Il Picchio Verdicchio di Matelica 2023 ,Italy,Verdicchio,An Italian Classic,,,$22.99 per bottle,12 bottles - $275.88,,,
RedHeads Blue Belle Riesling 2024 ,Australia,Riesling,"Crisp, Dry Aussie Riesling",,,$28.99 per bottle,12 bottles - $347.88,,,
Bartolomeo Lorenzi Rosso Veronese 2022 ,Italy,Corvina-based blend,Acclaimed Valpolicella Red,,6 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
Collezione di Paolo Chianti 2024 ,Italy,Sangiovese,Top Winemaker’s Signature Chianti,,616 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Nicolo & Paradis Champagne Trio  ,,,Fine Champagne—Three for Two Deal,,,,3 bottles - $149.97,$149.97,$99.97,Save $50.00
Lost Isle Cabernet Sauvignon Clarksburg 2024 ,United States,Cabernet Sauvignon,Esteemed California Cabernet,,,$22.99 per bottle,12 bottles - $275.88,$275.88,$191.88,Save $84.00
Green Darner Riesling 2023 ,United States,Riesling,Alluring Washington Riesling,,4 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
El Mojón 2023 ,Spain,Tempranillo-based blend,"92-Point, Barrel-Aged Spanish Red",,2 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Villa Broglia Gavi di Gavi Anniversario 2022 ,Italy,Cortese,Top-Estate 90+ Point Release,,,$32.99 per bottle,12 bottles - $395.88,,,
Cossaro Monferrato Nebbiolo 2023 ,Italy,Nebbiolo,Top-Estate Piedmont Nebbiolo,,4 Reviews,$27.99 per bottle,12 bottles - $335.88,,,
Lobster Shack Sauvignon Blanc 2024 ,South Africa,Sauvignon Blanc,Thrilling Sauvignon Blanc,,26 Reviews,$15.99 per bottle,12 bottles - $191.88,,,
Villa Pani Brachetto (500ml) 2020 ,Italy,Brachetto,Italy’s Sweet Red Treasure,,4 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
